label,text
Fake,event u strike syria russian replace weapon immediately theyve said record theyve suggested might even replace better stuff
Genuine,give proposed economic stimulus plan perspective started day jesus christ born spent million every day since still wouldnt spent trillion
Fake,warmer mar part united state canada polar vortex
Genuine,health insurance plan member congress different federal employee united state government
Fake,he promising four year administration push privatization social security
Genuine,radio marti tv marti spent million reach le percent cuban population
Fake,there plan senate democrat white house replace sequester
Fake,however took million oregon lottery fund port newport eventually land new noaa marine operation centerpacific
Fake,percent ablebodied people state maine dont work
Genuine,small business create percent job america
Fake,gov chris christie caused percent increase property tax marking highest increase since
Genuine,know cant pull truth matter started today would take one year one year get troop physically iraq logistically
Fake,say lamar smith sponsored bill funded obamacare
Fake,hispanic unemployment ticking alltime high percent policy weve implemented
Fake,romney left massachusetts million debt big governmentmandated health care system
Genuine,georgia spends fewer tourism advertising dollar state south
Fake,ive created job
Fake,lyme disease one fastest growing infectious disease united state rhode island secondhighest incidence disease country
Genuine,people become citizen dream act turn sponsor illegal immigrant parent legalization
Fake,wisconsin election official accept mickey mouse hitler signature recall petition
Genuine,buffett rule bring le billion per year enough pay one week interest national debt
Genuine,state covered smaller percentage cost k education
Genuine,florida election least eligible voter wrongly dropped voting roll attempt purge list felon many dropped showed vote told could
Fake,ive never supported payroll tax
Genuine,john raeses wife registered vote florida cant even vote
Fake,asked email made public none would public arena
Fake,rick scott vetoed funding florida rape crisis center scott said center werent needed
Fake,say mitt romneys housing policy dont try stop foreclosure process let run course hit bottom
Fake,le percent percent american population given amount federal political campaign
Fake,obamacare irs access american people protected health care information
Fake,obama went pakistan could traveling u citizen
Fake,say obama administration invited russia syria
Fake,went back obesity rate existed back medicare system several year could save much trillion dollar
Genuine,one taken custody feeding homeless
Fake,gang increased percent since president elected
Fake,say gov scott walker caused wisconsin lose job state country
Fake,u rep paul ryan sean duffy reid ribble shutting town hall meeting making constituent pay attend
Fake,paul broun jr side sexual deviant support sale crush video
Fake,large number uninsured earn year
Fake,ninetyfour percent small business face higher tax democrat plan
Fake,zvisa offered senate bill let everybody who illegally criminal stay rest life
Fake,city milwaukee us building inspection area revenue base
Fake,senator jeff plale saved job others bucyrus international
Genuine,assault weapon handgun allowed state capitol bullhorn trumpet helium balloon flag pole banned
Genuine,anybody who trying cross street seen sign say stop pedestrian crosswalk bill passed
Fake,road construction bid coming lowest modern era
Genuine,first time history wisconsin government job manufacturing job
Genuine,milwaukee county board staff grew four worker four decade cost taxpayer lot total county workforce cut half period
Fake,say unemployment would percent people quit looking work included federal labor force calculation
Fake,percent time smart gun wont work
Fake,trillion spent antipoverty program enough give every single poor american check
Fake,george lemieux never requested single earmark pushed ban
Genuine,sequester effect federal government still funding study duck penis
Fake,usual hillary dems trying rig debate major nfl game
Fake,attempt find thing like crime criminal activity indictment filtered google favor hillary clinton
Genuine,emergency room account percent health care spending
Fake,say mitt romneys carried interest income tax trick
Fake,tax dollar used sue people
Fake,residency requirement public worker
Fake,say president dwight eisenhower moved million illegal immigrant country
Fake,student attempt suicide every year college campus
Fake,receiving campaign contribution outofstate donor
Genuine,congressman john lewis american hero made allegation sarah palin somehow associated worst chapter american history senator obama didnt repudiate remark
Fake,said mother fight health insurance company treatment preexisting condition
Fake,leading democratic candidate said unfettered free market destructive force modern america
Fake,say mitt romneys response crisis auto industry let detroit go bankrupt
Fake,new energy standard take away freedom choice selection light bulb home
Genuine,percent child born america born wedlock
Fake,say crime rising manchester gone percent mayor ted gatsas
Fake,u sen bill nelson chose side president obama keystone pipeline
Genuine,family four make year still get subsidy health insurance new federal health care law
Fake,ohio economy mend better shape took office
Fake,without financial resource provided hunter protect habitat stop poacher would infrastructure wildlife management
Fake,stimulus money went office upgrade politician
Genuine,obama administration put major rule clinton administration bush administration comparable time
Genuine,rhode island generous unemployment compensation rate compared state
Genuine,democratic republican candidate president quite unpopular
Fake,say he never asked inflationary budget increase budget milwaukee county sheriff
Fake,since florida passed stand ground law death due selfdefense jumped percent
Fake,july government said small business percent lose health care percent big business large percentage individual health
Fake,u trillion unfunded liability
Genuine,say mitt romney support plan slowly gradually raise retirement age social security
Fake,went back obesity rate existed would save medicare system trillion dollar
Fake,say mitt romney governor massachusetts th job creation
Fake,last year exxonmobil made billion profit guess paid zero tax got million refund irs
Fake,dennis richardson want make drastic cut service depend school home care senior even public safety richardson keep million unspent fund political priority
Genuine,slavery still allowable wisconsin law long punishment crime
Genuine,say debbie wasserman schultz voted huge subsidy sugar industry well delay cleanup
Genuine,tried pay trillion handing per second would take year
Fake,tampa got federal housing money scored higher blight scoring system theyve got much bigger problem
Fake,koch brother spending money either democratic republican party election
Fake,republican election platform actually written help former lobbyist aig former lobbyist exxonmobil
Fake,scientist shown u greater possibility real science movement adult stem cell research embryonic
Fake,doddfrank financialreform law hundred new rule force small bank credit union burn estimated labor hour compliance
Fake,credit agency say rep gibbs recklessly caused downgrade higher interest rate
Fake,say accidental villain batman movie named bane
Fake,every day oil continues pour gulf mexico even disaster coast richard burr voted let big oil hook
Fake,say gov scott walker hasnt done public event entire year
Fake,fox changed around poll eligibility criterion day announced debate
Genuine,federally licensed gun dealer license revoked youve engaged misconduct entire inventory prevailing law deemed personal collection sell free background check
Genuine,spending caught u debt soon eclipse entire size national economy
Fake,democrat give newport homeless get poll
Fake,barack obama pledged reduce size military
Genuine,say marco rubio opposes abortioneven case rape incest
Genuine,every year first coast guard district save life northeast
Fake,say eric cantor coauthor house gop principle immigration reform new york time washington postsaid thatcaptured essence senate immigration bill
Fake,say ellen rosenblum said job percent job government lawyer
Fake,say often appeared oreilly factorand often praised bybilloreilly
Genuine,dont earmark ive never done one im going one
Fake,china south china sea buildinga military fortress like perhaps world seen
Genuine,six georgia county lawyer
Genuine,since eight child georgia died due vehicular heatstroke
Fake,say yearold girl recently raped austin texas guy previously caught four time released
Fake,secure community proven track record enhancing public safety focusing violent offender pose threat community national security
Genuine,top wellpaid ceo america received combined million average american worker wage rose percent
Fake,martha kanter dispatched corvallis million stimulus money save craig robinson job
Genuine,percent registered democrat new th congressional district come old district
Fake,romneycare sent cost spiraling control massachusetts hiking premium squeezing household budget
Fake,engaged nationbuilding afghanistan
Fake,say security foreign enemy act would pause resettlement syrian refugee united state
Genuine,know statistically take sat second time one third people take sat even theyve studying get lower score first time around
Genuine,say state new collective bargaining law effectively eliminates police union ability negotiate
Genuine,alternative minimum taxwas created congress affect wealthy american never indexed inflation original taxpayer increased affect million
Fake,le american working
Fake,since alone obama administration allowed criminal alien return back united state community individual encountered identified immigration custom enforcement detained processed deportation wouldnt politically correct
Fake,obamacare last two year health care premium gone true theyve gone slower time last year
Genuine,created net new job since taking office
Genuine,ted cruz defended chinese company stole invention american inventor
Fake,say ted cruz wanted let syrian refugee give amnesty illegal immigrant
Fake,new college tuition reciprocity agreement minnesota make college education affordable wisconsin resident
Fake,say united state nation affords citizenship anyone born whether legally illegally
Fake,st pete beach local version amendment resulted seemingly endless lawsuit decimated city legal budget forced city raise property tax rate
Fake,arkansas democratic congressional candidate chad causey washington dc bureaucrat
Genuine,hurricane irene secondlargest storm hit north america term power outage first hurricane make landfall new jersey since
Genuine,time left state department economic growth opium production afghanistan infant mortality declined school enrollment rose sevenfold
Fake,john mccain changed position invading iraq
Fake,using embryonic stem cell medical research
Fake,nevada lawmaker permanently cut tax percent nevada business
Genuine,nearly decade half congress tammy baldwin sponsored bill three enacted law
Genuine,texas family kept billion family budget since successfully fought restore texas sale tax deduction decade ago
Fake,taliban year year mean hundred thousand year
Fake,say case texas judge refused perform heterosexual wedding expose double standard case kentucky clerk kim davis
Genuine,lost job great recession last four recession combined
Fake,federal reserve system presided percent decline u dollar
Fake,proper collective noun group baboon believe congress
Genuine,secretary department energy former president bill clinton created reserve home heating oil
Fake,despite may heard wisconsin finance wisconsin track budget surplus year
Genuine,charlie crist broke quarter record fundraising u senate race florida
Fake,others place hand heart obama turn back flag slouch
Genuine,say donald trump tax plan give wealthy corporation bush tax cut least factor two
Fake,congress secured special obamacare rule prevent healthcare cost rising
Fake,policy bush administration also add new nuclear capability
Fake,city percent set aside affordable housing urban renewal area calculated citywide district district
Genuine,crime arizona
Fake,barack obama u lowest workforce since president jimmy carter
Genuine,filing lawsuit rhode island reached agreement state agency resulted voter registered first full month lawsuit entire previous twoyear reporting period
Fake,social security trust fund already facing imminent bankruptcy
Genuine,state gun law tend fewest gun death
Fake,year anybodys ever seen donald trump tax return showed didnt pay federal income tax
Fake,said washington post argued failure pas start treaty year would calamity associated press saidthe administration concedes security risk immediate
Fake,scott walker income tax plan tax hike increase tax nearly people state
Fake,say catherine cortez masto indicted brian krolicki innocent man order save harry reid political career
Fake,state government workforce grew tim kaine governor
Fake,deployed texas national guard texasmexico border policy worked apprehension border declined percent
Fake,wrote nancy pelosi said didnt think capturing osama bin laden make u safer called killing historic
Genuine,dollar general added store job fouryear tenure ceo
Fake,payasyougo law big reason record surplus
Genuine,new business startup lowest level year
Fake,university florida announced past week dropping computer science department meanwhile athletic budget current year million increase million last year
Fake,northwest corridor highway project cobb cherokee county expected create job statewide
Fake,national football league lockout would cost atlanta million lost job revenue
Genuine,havent missed vote since
Fake,year federal government revenue year history country
Genuine,nine poorest state red state
Fake,say epa regulation greenhouse gas endanger texas dairy facility swine operation corn farm beef cattle operation
Fake,u constitution there little section talk life liberty pursuit happiness
Fake,say mark ha raised tax billion single day
Fake,sharron angle want wipe social security
Fake,last month american stopped looking job found one
Fake,say state union address president obama didnt even mention deficit debt
Genuine,spring parent student new york state refused let take common core test
Fake,worst state country moving people welfare work
Fake,say epa permit languished strickland new epa director got done two day
Genuine,bill richardson major democratic candidate plan withdraw american troop iraq major democratic candidate support leaving american troop iraq indefinitely
Fake,least quarter apprehended border criminal record
Fake,june july cnn interviewed israeli public official versus onepalestinian official
